exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
HNX,Kinh doanh LPG Việt Nam,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,535.0,3929.0,0.035,http://www.pvgaslpg.vn,3.9,-0.03,-0.068,-0.195,36.5,36.5,CT,PVG,,,,
HNX,Xăng dầu dầu khí Phú Yên,275.0,7573.0,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,282.0,282.0,0.008,http://www.pvoilphuyen.com.vn,4.0,-0.028,-0.084,-0.106,9.3,9.3,CT,PPY,,,,
HOSE,Điện lực Dầu khí Việt Nam,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,2125.0,44043.0,0.078,https://pvpower.vn,3.7,-0.021,0.058,0.113,2341.9,2341.9,CT,POW,,,,
UPCOM,Cấp thoát nước Phú Yên,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2006.0,226.0,210.0,0.0,http://www.capthoatnuocpy.com.vn,3.9,0.321,0.296,0.144,38.4,38.4,CT,PWS,,,,
UPCOM,Nhiệt điện Quảng Ninh,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2002.0,853.0,9249.0,0.01,http://www.quangninhtpc.com.vn,3.9,-0.017,-0.063,0.159,450.0,450.0,CT,QTP,,,,
UPCOM,Cấp thoát nước và XD Quảng Ngãi,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,117.0,122.0,0.0,http://capnuocqni.com.vn,3.9,-0.017,-0.042,0.564,20.0,20.0,CT,QNW,,,,
UPCOM,Thủy điện Quế Phong,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2005.0,30.0,0.0,0.002,http://www.thuydienquephong.com.vn,4.0,-0.03,0.015,0.276,18.6,18.6,CT,QPH,,,,
UPCOM,Nước sạch Quảng Ninh,277.0,7577.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,1459.0,996.0,0.0,http://www.quawaco.com.vn,3.4,-0.017,-0.088,-0.016,50.8,50.8,CT,NQN,,,,
UPCOM,Chiếu sáng TPHCM,276.0,7575.0,"Điện, nước & xăng dầu khí đốt",Utilities,2010.0,395.0,457.0,0.026,http://www.chieusang.com,4.0,-0.017,-0.007,0.093,28.4,28.4,CT,CHS,,,,
HOSE,Sông Ba JSC,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,95.0,6162.0,0.004,http://www.songba.vn,4.2,-0.033,-0.093,0.727,60.5,60.5,CT,SBA,,,,
UPCOM,Thủy điện Sông Ba Hạ,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2007.0,131.0,199.0,0.0,http://www.sbh.evn.vn,3.8,-0.017,-0.022,0.264,124.2,124.2,CT,SBH,,,,
HNX,Điện miền Trung,274.0,7535.0,"Điện, nước & xăng dầu khí đốt",Utilities,2003.0,86.0,0.0,0.002,http://www.mientrungpid.com.vn,4.0,-0.064,-0.111,0.13,32.0,32.0,CT,SEB,,,,
