,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker,status,code,message,traceId
399,UPCOM,Diêm Thống Nhất,228.0,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,1956,375.0,0.0,0.0,http://www.diemthongnhat.com.vn,3.8,,,,2.2,2.2,CT,DTN,,,,
400,HOSE,Kỹ nghệ Đô Thành,150.0,1353,Hóa chất,Chemicals,1994,206.0,753.0,0.002,http://www.dothanhtech.com,4.1,-0.017,-0.046,0.022,8.2,8.2,CT,DTT,,,,
401,UPCOM,PT điện Nông thôn Trà Vinh,274.0,7535,"Điện, nước & xăng dầu khí đốt",Utilities,1996,181.0,120.0,0.0,http://www.diennongthontv.com,3.7,-0.017,-0.042,0.516,5.3,5.3,CT,DTV,,,,
402,UPCOM,Công trình đô thị Vũng Tàu,199.0,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,468.0,342.0,0.001,http://www.dothivungtau.com.vn,4.1,-0.017,-0.059,0.274,5.4,5.4,CT,MTV,,,,
403,UPCOM,May Đức Giang,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,471.0,508.0,0.001,http://www.mayducgiang.com.vn,3.3,-0.255,0.029,0.223,9.0,9.0,CT,MGG,,,,
404,UPCOM,TM dịch vụ Cảng Hải Phòng,275.0,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2000,224.0,257.0,0.0,http://www.dichvucang.com,3.3,-0.017,-0.025,0.161,10.8,10.8,CT,DVC,,,,
405,HNX,Tập đoàn Sơn Đại Việt,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,23.0,0.0,0.001,http://www.davipaint.com,3.7,0.021,-0.042,-0.525,28.0,28.0,CT,DVG,,,,
406,HOSE,ĐT và PT Cảng Đình Vũ,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2003,431.0,1836.0,0.125,http://www.dinhvuport.com.vn,4.0,-0.007,0.022,0.205,40.0,40.0,CT,DVP,,,,
407,UPCOM,Kính Đáp Cầu,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005,101.0,620.0,0.002,http://www.kinhdapcau.vn,3.2,0.336,0.458,0.231,30.0,30.0,CT,DSG,,,,
408,UPCOM,DV và XD cấp nước Đồng Nai,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2008,120.0,111.0,0.0,http://www.dvxdcn.com,3.8,-0.017,-0.042,0.339,2.3,2.3,CT,DVW,,,,
409,HOSE,Địa ốc Đất Xanh,336.0,8633,Bất động sản,Real Estate,2007,418.0,39626.0,0.207,http://www.datxanh.com.vn,3.5,0.042,0.237,-0.442,610.0,611.8,CT,DXG,,,,
410,UPCOM,Du lịch và Xuất nhập khẩu Lạng Sơn,259.0,5753,Du lịch và Giải trí,Travel & Leisure,2006,50.0,84.0,0.019,http://tocolimexlangson.com,4.0,-0.224,-0.573,-0.569,4.0,4.0,CT,DXL,,,,
411,HNX,Cảng Đoạn Xá,193.0,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,206.0,0.0,0.023,http://www.doanxaport.com.vn,4.0,-0.007,-0.073,-0.264,29.5,27.3,CT,DXP,,,,
412,HOSE,Dịch vụ BĐS Đất Xanh,339.0,8637,Bất động sản,Real Estate,2011,7191.0,1653.0,0.188,https://datxanhservices.vn,3.8,-0.049,-0.2,-0.51,453.1,453.1,CT,DXS,,,,
413,HOSE,Vật liệu Xây dựng Đà Nẵng,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2006,250.0,578.0,0.007,http://coxiva.com.vn/,3.6,-0.033,-0.107,-0.259,9.9,9.9,CT,DXV,,,,
